cuit,razon_social,fecha_hora_contrato_social,tipo_societario,fecha_hora_actualizacion,numero_inscripcion,dom_fiscal_provincia,dom_fiscal_localidad,dom_fiscal_calle,dom_fiscal_numero,dom_fiscal_piso,dom_fiscal_departamento,dom_fiscal_cp,dom_fiscal_estado_domicilio,dom_legal_provincia,dom_legal_localidad,dom_legal_calle,dom_legal_numero,dom_legal_piso,dom_legal_departamento,dom_legal_cp,dom_legal_estado_domicilio,actividad_codigo,actividad_descripcion,actividad_orden,actividad_estado,actividad_vigencia
30500002340,BANCO DE LA EDIFICADORA DE OLAVARRIA S A,1914-12-14-00:00,SOCIEDAD ANONIMA,2024-01-01-10:52,,BUENOS AIRES,OLAVARRIA,RIVADAVIA,3000,,, 7400,CONFIRMADO,BUENOS AIRES,OLAVARRIA,RIVADAVIA,3000,,, 7400,CONFIRMADO,,,,,
30500002588,BANCO DE SANTANDER SA,1999-06-26-00:00,SOCIEDAD ANONIMA,2024-01-01-09:43,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALEM LEANDRO N. AV.,356,13,, 1003,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,AV LEANDRO N ALEM,356,13,, 1003,NO CONFIRMADO,,,,,
30500002898,THE CHASE MANHATTAN BANK N A,1904-08-27-00:00,SOCIEDAD ANONIMA,2024-01-01-09:43,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ARENALES,707,05,, 1061,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ARENALES,707,05,, 1061,NO CONFIRMADO,,,,,
30500003193,BANCO BBVA ARGENTINA S.A.,1986-12-06-12:00,SOCIEDAD ANONIMA,2024-11-14-14:56,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORDOBA AV.,111,27,, 1054,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORDOBA AV.,111,31,, 1054,DECLARADO POR INTERNET,,,,,
30500003266,BANCO SUDAMERIS ARGENTINA SA,1912-10-03-00:00,SOCIEDAD ANONIMA,2024-01-01-10:20,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PERON JUAN TTE.GRAL.,500,,, 1038,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PERON JUAN TTE.GRAL.,500,,, 1038,NO CONFIRMADO,,,,,
30500003339,NUMANCIA SEGUROS EN GENERAL SOCIEDAD ANONIMA,1931-10-29-00:00,SOCIEDAD ANONIMA,2024-01-01-11:00,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALVEAR MARCELO T. DE,882,,, 1058,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALVEAR MARCELO T. DE,882,,, 1058,NO CONFIRMADO,,,,,
30500003401,THE ROYAL BANK OF SCOTLAND N V,1914-08-04-00:00,SUCURSAL EMPRESA EXTRANJERA,2024-01-01-11:20,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BOUCHARD AV.,710,1,, 1106,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BOUCHARD AV.,710,1,, 1106,DECLARADO POR INTERNET,,,,,
30500003886,CBAL SOCIEDAD ANONIMA,1914-08-17-10:43,SUCURSAL EMPRESA EXTRANJERA,2024-06-03-14:04,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,VIAMONTE,1365,7,C, 1053,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,VIAMONTE,1365,7,C, 1053,DECLARADO POR INTERNET,,,,,
30500004017,BANCO DE JUNIN S A,1927-03-23-00:00,SOCIEDAD ANONIMA,2024-01-01-09:51,,BUENOS AIRES,JUNIN,ARIAS,1,,, 6000,CONFIRMADO,BUENOS AIRES,JUNIN,ARIAS,1,,, 6000,NO CONFIRMADO,,,,,
30500004181,LA CONCORDIA CIA ARG DE SEGUROS S A,1942-03-31-00:00,SOCIEDAD ANONIMA,2024-02-22-13:39,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORDOBA AV.,323,,003, 1054,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORDOBA AVDA.,323,,003, 1054,NO CONFIRMADO,,,,,
30500004327,S A BANCO POPULAR ARGENTINO,1927-07-18-00:00,SOCIEDAD ANONIMA,2024-01-01-09:51,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,FLORIDA,201,,, 1005,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,FLORIDA,201,,, 1005,NO CONFIRMADO,,,,,
30500004491,BANCO DE INTERCAMBIO REGIONAL S A,1998-01-03-00:00,SOCIEDAD ANONIMA,2024-02-22-13:47,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAENZ PEÑA R. PTE. AV.,938,09,, 1035,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAENZ PE#A ROQUE PTE,938,09,, 1329,NO CONFIRMADO,,,,,
30500004637,BANCO POPULAR DE ROSARIO,1908-10-04-00:00,SOCIEDAD ANONIMA,2024-02-22-13:54,,SANTA FE,ROSARIO NORTE,SARMIENTO,898,,, 2000,NO CONFIRMADO,SANTA FE,ROSARIO,SARMIENTO,898,,, 2000,NO CONFIRMADO,,,,,
30500004874,SCOTIA QUILMES S A (EN LIQUIDACION),1907-11-18-00:00,SOCIEDAD ANONIMA,2024-01-01-10:57,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BOUCHARD AV.,557,,, 1106,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PERON JUAN TTE.GRAL.,564,03,, 1038,NO CONFIRMADO,,,,,
30500005242,LA CONTINENTAL COMPA#IA DE SEGUROS GENERALES S A,1912-06-22-00:00,SOCIEDAD ANONIMA,2024-01-01-11:16,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PELLEGRINI CARLOS,1069,4,, 1009,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PELLEGRINI CARLOS,1069,4,, 1009,DECLARADO,,,,,
30500005625,CITIBANK N A,1901-01-01-10:43,SUCURSAL EMPRESA EXTRANJERA,2024-11-01-11:44,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MITRE BARTOLOME,502,,, 1036,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BARTOLOME MITRE,502,,, 1036,NO CONFIRMADO,,,,,
30500005862,BANK OF AMERICA N.A. OFICINA DE REPRESENTACION,1917-03-01-12:00,SOCIEDAD EXTRANJERA,2024-04-24-16:15,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,DELLA PAOLERA CARLOS M.,261,20,, 1001,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,DELLA PAOLERA CARLOS,261,20,, 1001,DECLARADO,,,,,
30500006168,BANCO DEL INTERIOR Y BUENOS AIRES S/ LIQUIDACION,1959-04-01-00:00,SOCIEDAD ANONIMA,2024-01-29-08:06,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,266,08,, 1003,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,266,08,, 1003,NO CONFIRMADO,,,,,
30500006303,BANCO CREDITO PROVINCIAL S A,1941-02-12-00:00,SOCIEDAD ANONIMA,2024-01-01-09:29,,BUENOS AIRES,LA PLATA SUDESTE CALLE 50 AMBAS VEREDAS,50,615,,, 1900,NO CONFIRMADO,BUENOS AIRES,LA PLATA,50,615,,, 1900,NO CONFIRMADO,,,,,
30500006540,NUEVO BANCO DE AZUL S A,1928-10-05-00:00,SOCIEDAD ANONIMA,2024-01-01-10:52,,BUENOS AIRES,AZUL,SAN MARTIN,549,,, 7300,INEXISTENTE - DESCONOCIDO,BUENOS AIRES,AZUL,SAN MARTIN,549,,, 7300,NO CONFIRMADO,,,,,
30500006613,BANCO PATAGONIA SOCIEDAD ANONIMA,1939-08-29-00:00,SOCIEDAD ANONIMA,2024-02-14-21:58,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,DE MAYO AV.,701,24,, 1084,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,DE MAYO AV.,701,24,, 1084,DECLARADO POR INTERNET,,,,,
30500006788,ENTE RESIDUAL DEL BANCO PROVINCIA DE SANTAIGO DEL ESTERO,1901-01-01-00:00,SOCIEDAD DEL ESTADO,2022-06-14-18:56,,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,LIBERTAD,1919,,, 4200,CONFIRMADO,SANTIAGO DEL ESTERO,STGO.DEL ESTERO,LIBERTAD,1919,,, 4200,NO CONFIRMADO,,,,,
30500007083,BANCO MONSERRAT SOCIEDAD ANONIMA,1927-12-03-00:00,SOCIEDAD ANONIMA,2024-02-22-13:54,,SANTA FE,ROSARIO,SAN LORENZO,1346,,, 2000,NO CONFIRMADO,SANTA FE,ROSARIO,SAN LORENZO,1346,,, 2000,NO CONFIRMADO,,,,,
30500007229,BANCO DE CORONEL PRINGLES,1928-06-26-00:00,SOCIEDAD ANONIMA,2024-02-22-13:56,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,266,,, 1003,DECLARADO,BUENOS AIRES,CNEL.PRINGLES,STEGMANN Y DORREGO,0,,, 7530,NO CONFIRMADO,,,,,
30500007393,BANCO DI NAPOLI,1926-05-06-12:00,SOCIEDAD ANONIMA,2024-01-01-09:29,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MITRE BARTOLOME,699,,, 1357,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MITRE BARTOLOME,699,,, 1357,NO CONFIRMADO,,,,,
30500007466,BANCO COMERCIAL ISRAELITA S A,1921-04-10-00:00,SOCIEDAD ANONIMA,2022-07-02-06:20,,SANTA FE,ROSARIO NORTE,MITRE,702,,, 2000,NO CONFIRMADO,SANTA FE,ROSARIO,MITRE,702,,, 2000,NO CONFIRMADO,,,,,
30500007539,MAPFRE ARGENTINA SEGUROS SOCIEDAD ANONIMA,1901-01-01-00:00,SOCIEDAD ANONIMA,2024-11-01-11:44,,BUENOS AIRES,MUNRO,ALFEREZ HIPOLITO BOUCHARD,4191,4,, 1605,DECLARADO POR INTERNET,BUENOS AIRES,MUNRO,ALFEREZ HIPOLITO BOUCHARD,4191,7,, 1605,DECLARADO POR INTERNET,,,,,
30500007776,BANCO DE CORONEL DORREGO Y TRENQUE LAUQUEN S A,1926-07-26-00:00,SOCIEDAD ANONIMA,2024-02-22-13:58,,BUENOS AIRES,CORONEL DORREGO,AVDA JULIO A ROCA,699,,, 8150,NO CONFIRMADO,BUENOS AIRES,CORONEL DORREGO,AVDA JULIO A ROCA,699,,, 8150,NO CONFIRMADO,,,,,
30500007849,S A BANCO EDIFICADOR DE TRENQUE    LAUQUEN,1926-04-01-00:00,SOCIEDAD ANONIMA,2024-02-22-13:50,,BUENOS AIRES,CORONEL DORREGO,AV JULIO A ROCA E HI,0,,, 8150,NO CONFIRMADO,BUENOS AIRES,CORONEL DORREGO,AV JULIO A ROCA E HI,0,,, 8150,NO CONFIRMADO,,,,,
30500008071,BANCO DEL OESTE,1961-02-20-00:00,SOCIEDAD ANONIMA,2024-02-22-13:49,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAN MARTIN,128,01,, 1004,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAN MARTIN,128,01,, 1004,NO CONFIRMADO,,,,,
30500008217,BELGRANO SOCIEDAD COOPERATIVA LIMITADA DE SEGUROS,1933-08-10-00:00,COOPERATIVA,2024-01-01-09:51,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAN JUAN AV.,2759,,, 1232,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,AV SAN JUAN,2759,,, 1232,NO CONFIRMADO,,,,,
30500008454,BANCO SANTANDER ARGENTINA SOCIEDAD ANONIMA,1989-09-11-12:00,SOCIEDAD ANONIMA,2024-09-11-18:45,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,GARAY JUAN DE AV.,151,,, 1063,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,GARAY JUAN DE AV.,151,,, 1063,DECLARADO,,,,,
30500008527,BANCO DE MENDOZA S A,1901-01-01-00:00,SOCIEDAD ANONIMA,2024-02-22-13:41,,MENDOZA,MENDOZA,SAN MARTIN,1324,,, 5500,INEXISTENTE - DESCONOCIDO,MENDOZA,MENDOZA,SAN MARTIN,1324,,, 5500,NO CONFIRMADO,,,,,
30500008691,BANCO DE ENTRE RIOS SOCIEDAD ANONIMA,1993-08-30-00:00,SOCIEDAD ANONIMA,2024-06-29-08:10,,ENTRE RIOS,PARANA,TUCUMAN,550,,, 3100,CONFIRMADO,ENTRE RIOS,PARANA,COLON,453,,, 3100,CONFIRMADO,,,,,
30500008764,BANCO DE LA PROVINCIA DE JUJUY S A,1932-11-08-00:00,SOCIEDAD ANONIMA,2024-02-22-13:58,,JUJUY,SAN SALVADOR DE JUJUY,BELGRANO,566,,12, 4600,CONFIRMADO,JUJUY,SAN SALVADOR DE JUJUY,BELGRANO,566,,12, 4600,CONFIRMADO,,,,,
30500008837,BANCO ESPA#OL DEL RIO DE LA PLATA LIMITADO,1935-12-28-00:00,SOCIEDAD ANONIMA,2022-06-14-18:56,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,200,,, 1003,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,200,,, 1003,CONFIRMADO,,,,,
30500009205,BANCO COMERCIAL BS  AS  EN LIQUIDAC  JUDICIAL,1949-10-24-00:00,SOCIEDAD ANONIMA,2024-02-22-13:47,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,266,08,, 1003,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,266,08,, 1003,NO CONFIRMADO,,,,,
30500009442,BANCO DE SAN JUAN S. A.,1943-03-16-00:00,SOCIEDAD ANONIMA,2024-09-11-14:18,,SAN JUAN,SAN JUAN,AV IG DE LA ROZA OESTE,85,,, 5400,DECLARADO,SAN JUAN,SAN JUAN,AV IG DE LA ROZA OESTE,85,,, 5400,DECLARADO POR INTERNET,,,,,
30500009515,BANCO DE CATAMARCA,1933-10-14-00:00,SOCIEDAD DEL ESTADO,2022-07-02-06:48,,CATAMARCA,SAN FERNANDO DEL VALLE DE CATAMARCA,REPUBLICA,480,,, 4700,NO CONFIRMADO,CATAMARCA,CATAMARCA,REPUBLICA,480,,, 4700,NO CONFIRMADO,,,,,
30500010084,BANCO MACRO SOCIEDAD ANONIMA,1941-09-28-00:00,SOCIEDAD ANONIMA,2024-10-17-18:45,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MADERO EDUARDO AV.,1182,,, 1106,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SARMIENTO,447,,, 1041,NO CONFIRMADO,,,,,
30500010157,BANCO ISRAELITA DE CORDOBA SA EN LIQUIDACION,1942-06-02-00:00,SOCIEDAD ANONIMA,2023-06-24-09:51,,CORDOBA,BARRIO GUEMES,BOLIVAR,558,,, 5000,NO CONFIRMADO,CORDOBA,BARRIO GUEMES,BOLIVAR,558,,, 5000,NO CONFIRMADO,,,,,
30500010394,BANCO COOPERATIVO DE LA PLATA LTDO,1901-01-01-00:00,ASOCIACION CIVIL,2024-01-01-10:57,,BUENOS AIRES,LA PLATA NOROESTE DE LA CALLE 50,6,812,,, 1900,NO CONFIRMADO,BUENOS AIRES,LA PLATA,6,812,,, 1900,NO CONFIRMADO,,,,,
30500010602,BANCO DE CORRIENTES SA,1950-03-11-00:00,SOCIEDAD ANONIMA,2024-11-02-05:11,,CORRIENTES,CORRIENTES,LAVALLE,415,,, 3400,CONFIRMADO,CORRIENTES,CORRIENTES,LAVALLE,415,,, 3400,DECLARADO,,,,,
30500010912,BANCO DE LA NACION ARGENTINA,1901-01-01-00:00,SOCIEDAD DEL ESTADO,2024-09-02-07:03,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MITRE BARTOLOME,326,04,428, 1036,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MITRE BARTOLOME,326,04,428, 1036,NO CONFIRMADO,,,,,
30500011072,BANCO HIPOTECARIO SOCIEDAD ANONIMA,1997-09-28-00:00,SOCIEDAD ANONIMA,2024-10-09-12:22,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,151,,, 1003,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,151,,, 1003,NO CONFIRMADO,,,,,
30500011218,PATRIMONIO EN LIQUIDACION BANCO NACIONAL DE DESARROLLO,1944-04-03-00:00,SOCIEDAD DEL ESTADO,2024-01-01-09:43,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALSINA ADOLFO,456,pb,, 1087,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALSINA,456,PB,, 1087,CONFIRMADO,,,,,
30500011692,BANCO ARGENTARIA S A,1935-10-30-00:00,SOCIEDAD ANONIMA,2024-02-22-13:43,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LAVALLE,347,PB,, 1047,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LAVALLE,347,PB,, 1047,NO CONFIRMADO,,,,,
30500011765,BANCO SHAW S A,1901-01-01-00:00,SOCIEDAD ANONIMA,2024-02-22-13:58,,BUENOS AIRES,BAHIA BLANCA,ALSINA,153,,, 8000,NO CONFIRMADO,BUENOS AIRES,BAHIA BLANCA,ALSINA,153,,, 8000,NO CONFIRMADO,,,,,
30500011838,"MUFG BANK LTD, REPRESENTACION PERMANENTE",1956-07-01-12:00,SOCIEDAD EXTRANJERA,2024-01-13-06:44,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LINNEO,1878,1,, 1416,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALEM LEANDRO N. AV.,855,25,, 1001,DECLARADO POR INTERNET,,,,,
30500011900,BANCO DEL CHACO S E M EN LIQUIDACION,1956-12-22-00:00,ECONOMIA MIXTA,2022-05-30-13:54,,CHACO,RESISTENCIA,GUEMES,225,1,, 3500,DECLARADO,CHACO,RESISTENCIA,GUEMES,225,1,, 3500,NO CONFIRMADO,,,,,
30500012370,BANCO DE HURLINGHAM S A EN LIQUIDACION POR EL BANCO CENTRAL DE LA REPUBLICA ARGE,1958-11-07-00:00,SOCIEDAD ANONIMA,2024-02-22-13:47,,BUENOS AIRES,MORON,BARTOLOME MITRE,975,,031, 1708,NO CONFIRMADO,BUENOS AIRES,MORON,BARTOLOME MITRE,975,,031, 1708,NO CONFIRMADO,,,,,
30500012443,BANCO DO BRASIL S A SUCURSAL BS AS,1901-01-01-00:00,SUCURSAL EMPRESA EXTRANJERA,2024-01-13-06:44,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,DE MAYO AV.,701,18,, 1084,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,DE MAYO AV.,701,18,, 1084,DECLARADO POR INTERNET,,,,,
30500012516,BANCO DE LA PAMPA S.E.M.,1959-05-18-00:00,ECONOMIA MIXTA,2024-08-30-01:45,,LA PAMPA,SANTA ROSA,PELLEGRINI,255,,, 6300,DECLARADO,LA PAMPA,SANTA ROSA,PELLEGRINI,255,,, 6300,CONFIRMADO,,,,,
30500012990,BANCO DEL CHUBUT S.A.,1996-01-24-12:00,SOCIEDAD ANONIMA,2024-07-05-08:05,,CHUBUT,RAWSON,RIVADAVIA,615,,, 9103,CONFIRMADO,CHUBUT,RAWSON,RIVADAVIA,615,,, 9103,CONFIRMADO,,,,,
30500013296,BANCO DE LA PROVINCIA DE MISIONES  SOCIEDAD DE ECONOMIA MIXTA,1901-01-01-00:00,SOCIEDAD ANONIMA,2024-02-22-13:45,,MISIONES,POSADAS,SANTA FE,421,,, 3300,INEXISTENTE - DESCONOCIDO,MISIONES,POSADAS,SANTA FE,421,,, 3300,NO CONFIRMADO,,,,,
30500013369,BANCO 1784 SOCIEDAD ANONIMA,1901-01-01-00:00,SOCIEDAD ANONIMA,2024-01-01-11:00,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,134,,, 1003,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,134,,, 1003,NO CONFIRMADO,,,,,
30500013504,BANK OF AMERICA SA,1969-12-01-00:00,SOCIEDAD ANONIMA,2024-01-01-10:57,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CANGALLO,525,,, 1038,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CANGALLO,525,,, 1038,NO CONFIRMADO,,,,,
30500013679,BANCO TORNQUIST S A,1960-07-06-00:00,SOCIEDAD ANONIMA,2024-01-01-11:00,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MITRE BARTOLOME,531,,, 1036,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MITRE BARTOLOME,531,,, 1036,NO CONFIRMADO,,,,,
30500013741,BANCO REGIONAL DE CUYO S A,1959-10-27-00:00,SOCIEDAD ANONIMA,2022-06-14-18:56,,MENDOZA,MENDOZA CIUDAD,AVDA SAN MARTIN,841,,, 5500,CONFIRMADO,MENDOZA,MENDOZA,AVDA SAN MARTIN,841,,, 5500,NO CONFIRMADO,,,,,
30500013814,BANCO DE LA PROVINCIA DE FORMOSA EN     LIQUIDACION.-,1901-01-01-00:00,SOCIEDAD ANONIMA,2022-06-14-18:55,,FORMOSA,FORMOSA,JOSE MARIA URIBURU,980,,, 3600,NO CONFIRMADO,FORMOSA,FORMOSA,JOSE MARIA URIBURU,980,,, 3600,NO CONFIRMADO,,,,,
30500013989,BANCO RURAL SUNCHALES COOPERATIVA LIMITADA,1960-03-04-00:00,ASOCIACION CIVIL,2022-05-30-14:53,,SANTA FE,SUNCHALES,INDEPENDENCIA,180,,, 2322,NO CONFIRMADO,SANTA FE,SUNCHALES,INDEPENDENCIA,180,,, 2322,NO CONFIRMADO,,,,,
